HeatsertHoleDiameter,mm,4.8 mm,
HeatsertDepth,mm,4.2 mm,
M3_Bolt_Shaft_Diameter_Loose,mm,3.3 mm,
M2_Bolt_Shaft_Diameter_Loose,mm,2.4 mm,
M2_Bolt_Head_Diameter_Loose,mm,4.1 mm,
T6_Driver_Shaft_Diameter_Loose,mm,2.75 mm,
M2_Bolt_Head_Height_Loose,mm,1.77 mm,
M3_Bolt_Head_Diameter_Loose,mm,5.65 mm,
M3_Hex_Nut_Diameter_Loose,mm,5.6 mm,
M3_Hex_Nut_Height_w_Clearance,mm,2.5 mm,
Enclosure_Wall_Thickness,mm,3 mm,
Lip_Clearance,mm,0.001 mm,
Power_Jack_Hole,mm,10.95 mm,
Pot_Hole,mm,6.95 mm,
Rotary_Encoder_Hole,mm,9.35 mm,
Toggle_Hole,mm,5.9 mm,
Button_Hole,mm,6.8 mm,
Enclosure_Wall_Height,mm,45 mm,
Lid_Thickness,mm,4.5 mm,
M3_Bolt_Head_Depth_Exact,mm,3.2 mm,
ScrewTerminalDistanceToWall,mm,15 mm,
Uno_USB_Hole_Clearance,mm,0.25 mm,
Lid_bolt_head_countersink,mm,2 mm,
Lid_lip_clearance,mm,0.1 mm,
PowerButtonHole,mm,19 mm,
Air_Hole_Width,mm,1 mm,
Air_Hole_Length,mm,10 mm,
Air_Hole_Width_Spacing,mm,Air_Hole_Width * 4,
Air_Hole_Length_Spacing,mm,Air_Hole_Length * 1.4,
Air_Hole_Length_Count,,8,
Air_Hole_Width_Count,,31,
d482,mm,2.11 mm,
d483,mm,1.84 mm,
d490,mm,1 mm,
d1,deg,0.0 °,
d2,mm,0.00 mm,
d3,mm,0.00 mm,
d4,mm,-55.00 mm,
d5,mm,0.2 mm,
d63,mm,30 mm,
d64,mm,40 mm,
d7,mm,0.00 mm,
d8,deg,0.0 °,
d9,mm,8.8 mm,
d10,mm,10 mm,
d11,deg,0.0 °,
d14,mm,M3_Bolt_Shaft_Diameter_Loose,
d16,deg,0.0 °,
d546,mm,0.00 mm,
d65,deg,-90.0 °,
d66,mm,0.00 mm,
d67,mm,0.00 mm,
d68,mm,0.00 mm,
d69,mm,10 mm,
d70,deg,0.0 °,
d117,deg,0.0 °,
d118,mm,0.00 mm,
d119,mm,0.00 mm,
d120,mm,0.00 mm,
d121,deg,0.0 °,
d122,mm,0.00 mm,
d123,mm,0.00 mm,
d124,mm,0.00 mm,
d125,deg,0.0 °,
d126,mm,0.00 mm,
d127,mm,0.00 mm,
d128,mm,0.00 mm,
d129,deg,0.0 °,
d130,mm,0.00 mm,
d131,mm,0.00 mm,
d132,mm,0.00 mm,
d140,deg,0.0 °,
d141,mm,0.00 mm,
d142,mm,-5.00 mm,
d143,mm,0.00 mm,
d364,deg,0.0 °,
d365,mm,0.00 mm,
d366,mm,-1.5 mm,
d367,mm,0.00 mm,
d371,deg,0.0 °,
d372,mm,0.00 mm,
d373,mm,0.00 mm,
d374,mm,0.00 mm,
d530,deg,0.0 °,
d531,mm,0.00 mm,
d532,mm,0.00 mm,
d533,mm,0.00 mm,
d534,deg,0.0 °,
d535,mm,0.00 mm,
d536,mm,0.00 mm,
d537,mm,0.00 mm,
d538,deg,0.0 °,
d539,mm,0.00 mm,
d540,mm,0.00 mm,
d541,mm,0.00 mm,
d542,deg,0.0 °,
d543,mm,0.00 mm,
d544,mm,0.00 mm,
d545,mm,0.00 mm,
d57,mm,0.00 mm,
d58,deg,0.0 °,
d216,mm,2.5 mm,
d217,mm,5.5 mm,
d218,mm,75 mm,
d219,deg,0.0 °,
d220,mm,2 mm,
d221,mm,0.00 mm,
d222,deg,0.0 °,
d233,mm,0.00 mm,
d234,deg,0.0 °,
d223,,1,
d224,mm,1.2 mm,
d235,mm,0.6180125173 mm,
d236,deg,54.1860179574 °,
d237,mm,0.4451920757 mm,
d238,mm,0.876105978 mm,
d239,mm,1.0375972388 mm,
d240,mm,1.0934912785 mm,
d241,deg,8.125223803 °,
d242,mm,0.5131803288 mm,
d243,deg,84.8241309242 °,
d225,mm,0.00 mm,
d226,deg,0.0 °,
d89,mm,M2_Bolt_Shaft_Diameter_Loose,
d90,mm,0.00 mm,
d91,deg,0.0 °,
d92,mm,-4 mm,
d94,deg,90 °,
d95,mm,M2_Bolt_Head_Diameter_Loose,
d96,mm,0.00 mm,
d97,deg,0.0 °,
d98,mm,M2_Bolt_Head_Diameter_Loose,
d99,mm,M2_Bolt_Head_Height_Loose,
d100,mm,6 mm,
d101,mm,M2_Bolt_Shaft_Diameter_Loose,
d230,mm,M2_Bolt_Head_Diameter_Loose,
d107,deg,0.0 °,
d110,mm,M2_Bolt_Head_Diameter_Loose / 2,
d109,deg,0.0 °,
d111,mm,T6_Driver_Shaft_Diameter_Loose,
d112,mm,0.00 mm,
d113,deg,0.0 °,
d114,mm,M2_Bolt_Head_Diameter_Loose,
d115,mm,0.00 mm,
d116,deg,0.0 °,
d133,,1,
d134,mm,6 mm,
d135,mm,0.7 mm,
d426,mm,0.7 mm,
d136,mm,4.1 mm,
d137,mm,0.00 mm,
d138,deg,0.0 °,
d139,mm,1 mm,
d432,mm,3.5 mm,
d469,mm,17.5 mm,
d420,mm,7 mm,
d421,deg,0.0 °,
d549,mm,M3_Hex_Nut_Diameter_Loose,
d550,mm,-M3_Hex_Nut_Height_w_Clearance,
d551,deg,0.0 °,
d552,deg,0.0 °,
d553,mm,0.00 mm,
d554,mm,0.00 mm,
d555,mm,0.00 mm,
d556,deg,0.0 °,
d557,mm,0.00 mm,
d558,mm,0.00 mm,
d559,mm,0.00 mm,
d560,deg,0.0 °,
d561,mm,0.00 mm,
d562,mm,0.00 mm,
d563,mm,0.00 mm,
d564,deg,0.0 °,
d565,mm,0.00 mm,
d566,mm,0.00 mm,
d567,mm,0.00 mm,
d584,mm,-0.2 mm,
d585,deg,0.0 °,
d586,mm,-0.2 mm,
d587,deg,0.0 °,
d588,,4,
d589,deg,360.0 °,
d590,,4,
d591,deg,360.0 °,
d440,mm,3 mm,
d441,mm,4 mm,
d442,,1,
d443,,1,
d446,deg,0.0 °,
d447,deg,0.0 °,
d448,,0,
d449,,1.73342E-08,
d148,mm,M3_Bolt_Shaft_Diameter_Loose,
d149,mm,0.5 mm,
d150,mm,1.8 mm,
d151,deg,0.0 °,
d152,mm,8.4 mm,
d153,mm,7 mm,
d154,deg,0.0 °,
d156,mm,M3_Bolt_Head_Diameter_Loose,
d157,mm,-3.1 mm,
d158,deg,0.0 °,
d175,mm,-120 mm,
d176,mm,16 mm,
d177,mm,0.05 mm,
d178,mm,8 mm,
d199,mm,3 mm,
d179,mm,3.65 mm,
d180,deg,0.0 °,
d192,deg,0.0 °,
d207,mm,0.00 mm,
d196,mm,0.1 mm,
d194,mm,1 mm,
d195,deg,0.0 °,
d202,mm,0.3 mm,
d197,mm,5 mm,
d198,deg,0.0 °,
d203,mm,0.1 mm,
d204,mm,0.4 mm,
d205,mm,0 mm,
d206,deg,0.0 °,
d208,mm,0.00 mm,
d209,deg,0.0 °,
d290,mm,0.5 mm,
d228,mm,0.00 mm,
d229,deg,0.0 °,
d231,mm,0.00 mm,
d232,deg,0.0 °,
d246,mm,-0.2 mm,
d247,deg,0.0 °,
d248,,10,
d249,,1,
d250,mm,-15 mm,
d251,mm,0.00 mm,
d252,mm,-0.2 mm,
d253,deg,0.0 °,
d254,,10,
d255,,1,
d256,mm,15 mm,
d257,mm,0.00 mm,
d258,mm,M2_Bolt_Head_Diameter_Loose,
d259,mm,0.00 mm,
d260,deg,0.0 °,
d281,mm,M2_Bolt_Head_Diameter_Loose,
d282,mm,0.00 mm,
d283,deg,0.0 °,
d287,mm,T6_Driver_Shaft_Diameter_Loose,
d288,mm,0.00 mm,
d289,deg,0.0 °,
d368,mm,1.8 mm,
d369,mm,-5 mm,
d370,deg,0.0 °,
d375,mm,1.8 mm,
d376,mm,1 mm,
d377,deg,0.0 °,
d378,,1,
d379,mm,0.9 mm,
d435,mm,2 mm,
d436,mm,2 mm,
d437,mm,2 mm,
d438,mm,2 mm,
d491,mm,-4 mm,
d492,deg,0.0 °,
d493,mm,-4 mm,
d494,deg,0.0 °,
d568,deg,0.0 °,
d569,mm,0.00 mm,
d570,mm,0.00 mm,
d571,mm,0.00 mm,
d572,deg,0.0 °,
d573,mm,0.00 mm,
d574,mm,0.00 mm,
d575,mm,0.00 mm,
d576,deg,0.0 °,
d577,mm,0.00 mm,
d578,mm,0.00 mm,
d579,mm,0.00 mm,
d580,deg,0.0 °,
d581,mm,0.00 mm,
d582,mm,0.00 mm,
d583,mm,0.00 mm,
d181,mm,8 mm,
d182,mm,16 mm,
d183,mm,3.65 mm,
d184,deg,0.0 °,
d185,mm,18 mm,
d186,mm,1 mm,
d187,deg,0.0 °,
d484,mm,-0.1 mm,
d485,deg,0.0 °,
d329,mm,12.84 mm,
d330,mm,6.5 mm,
d331,mm,( 5.75 / 2 ) * 1 mm,
d332,deg,0.0 °,
d333,mm,0.83 mm,
d334,mm,0.5 mm,
d335,mm,4.4 mm,
d336,mm,3.12 mm,
d337,deg,0.0 °,
d339,mm,0.3 mm,
d340,mm,13.28 mm,
d342,mm,0.94 mm,
d343,mm,3.54 mm,
d344,mm,( 3.75 / 2 ) * 1 mm,
d345,deg,0.0 °,
d346,mm,3.1 mm,
d350,mm,7.45 mm,
d351,mm,1 mm,
d347,mm,0.00 mm,
d348,deg,0.0 °,
d352,mm,2 mm,
d354,mm,8.6 mm,
d355,mm,4 mm,
d356,mm,0.00 mm,
d357,deg,0.0 °,
d358,,1,
d359,mm,0.3 mm,
d360,mm,0.84 mm,
d361,mm,0.9 mm,
d362,mm,( 2.9 / 2 ) * 1 mm,
d363,deg,0.0 °,
d470,mm,40.00 mm,
d471,deg,0.0 °,
d478,mm,1 mm,
d479,mm,2 mm,
d480,mm,0.5 mm,
d476,mm,2 mm,
d477,deg,0.0 °,
